date,t0_jst,ts_source,bias,no_trade,conf,prev24,ret24,retNY,rng24
2026-06-11,2026-06-11 23:50,file_mtime,-0.5,False,0.7,-1.05,3.2,3.32,4.24
2026-06-12,2026-06-12 18:50,file_mtime,0.3,True,0.3,3.23,2.72,-0.13,4.18
2026-07-05,2026-07-05 22:57,generated_at,0.0,True,0.0,1.24,-0.24,-0.25,1.74
2026-07-18,2026-07-18 23:05,generated_at,0.0,True,0.0,1.02,-0.1,-0.06,1.4
2026-07-19,2026-07-19 07:01,generated_at,-0.5,False,0.6,1.02,-0.1,-0.06,1.4
2026-08-11,2026-08-11 13:57,generated_at,0.5,False,0.7,1.59,-0.12,-0.88,1.33
2026-08-13,2026-08-13 18:00,generated_at,0.45,False,0.5,-0.69,-0.64,-0.75,2.06
2026-08-14,2026-08-14 18:00,generated_at,0.35,False,0.5,-0.64,1.01,0.5,1.53
2026-08-17,2026-08-17 18:00,generated_at,0.0,True,0.3,1.07,-0.01,0.51,1.32
2026-08-18,2026-08-18 18:00,generated_at,0.35,False,0.5,-0.01,-0.74,-1.32,1.79
2026-08-19,2026-08-19 18:00,generated_at,0.25,True,0.3,-0.74,2.83,3.73,3.86
2026-08-20,2026-08-20 18:00,generated_at,0.3,True,0.3,2.83,2.21,0.8,3.34
2026-08-24,2026-08-24 18:00,generated_at,0.45,False,0.5,1.37,-0.15,0.15,1.64
2026-08-25,2026-08-25 18:00,generated_at,0.35,False,0.5,-0.15,-0.3,0.45,1.42
2026-08-26,2026-08-26 18:00,generated_at,0.2,True,0.3,-0.3,-0.96,-0.64,1.36
2026-08-27,2026-08-27 18:00,generated_at,0.15,True,0.3,-0.96,0.57,0.47,1.1
2026-08-28,2026-08-28 18:00,generated_at,0.35,False,0.5,0.57,-3.29,-3.25,5.15
2026-08-31,2026-08-31 18:20,generated_at,0.0,True,0.3,-3.42,-1.71,0.12,2.21
2026-09-01,2026-09-01 18:00,generated_at,-0.15,True,0.3,-1.71,-1.37,-0.91,2.37
2026-09-02,2026-09-02 18:00,generated_at,-0.15,True,0.3,-1.37,2.78,1.84,3.25
2026-09-03,2026-09-03 18:00,generated_at,0.45,False,0.5,2.78,0.89,1.03,2.04
2026-09-04,2026-09-04 18:00,generated_at,0.0,True,0.3,0.89,-1.7,-0.84,3.26
2026-09-09,2026-09-09 23:46,generated_at,0.0,True,0.3,0.49,-1.34,-0.34,2.4
2026-09-10,2026-09-10 18:10,generated_at,0.0,True,0.3,0.11,-1.09,-1.76,2.26
2026-09-11,2026-09-11 23:02,generated_at,0.0,True,0.3,0.34,-1.94,-0.58,2.79
